name,srid,active,hof,positions,start,end,letter
Carey Bender,BendCa20,False,False,RB,1996,1996,B
Jacob Bender,BendJa20,False,False,T,2007,2007,B
Wes Bender,BendWe00,False,False,RB,1994,1997,B
Jesse Bendross,BendJe00,False,False,WR,1984,1987,B
Daved Benefield,BeneDa20,False,False,LB,1996,1996,B
Caleb Benenoch,BeneCa00,True,False,OT,2016,2017,B
Lou Benfatti,BenfLo20,False,False,DT,1994,1995,B
Tim Benford,BenfTi00,False,False,WR,2012,2014,B
Brant Bengen,BengBr20,False,False,WR,1987,1987,B
Rolf Benirschke,benirrol01,False,False,K,1977,1986,B
Dan Benish,BeniDa20,False,False,DT,1983,1987,B
Bill Benjamin,BenjBi20,False,False,LB,1987,1987,B
Guy Benjamin,BenjGu00,False,False,QB,1978,1983,B
Kelvin Benjamin,BenjKe00,True,False,WR,2014,2017,B
Ryan Benjamin,BenjRy20,False,False,RB,1993,1993,B
Ryan Benjamin,BenjRy21,False,False,C,2001,2003,B
Tony Benjamin,BenjTo00,False,False,RB,1977,1979,B
Travis Benjamin,BenjTr00,True,False,WR,2012,2017,B
Heinie Benkert,BenkHe20,False,False,B,1925,1930,B
Arrelious Benn,BennAr00,True,False,WR,2010,2017,B
Fred Benners,BennFr00,False,False,QB,1952,1952,B
Antoine Bennett,BennAn20,False,False,DB,1991,1992,B
Barry Bennett,BennBa20,False,False,DT-DE,1978,1988,B
Ben Bennett,BennBe20,False,False,QB,1987,1987,B
Brandon Bennett,BennBr00,False,False,RB,1998,2004,B
Charles Bennett,BennCh20,False,False,DE,1987,1987,B
Charles Bennett,BennCh21,False,False,LB,2006,2006,B
Chuck Bennett,BennCh22,False,False,B,1930,1933,B
Cornelius Bennett,BennCo00,False,False,LB,1987,2000,B
Darren Bennett,BennDa20,False,False,P,1995,2005,B
Donnell Bennett,BennDo00,False,False,RB,1994,2001,B
Drew Bennett,BennDr00,False,False,WR,2001,2008,B
Earl Bennett,BennEa00,False,False,WR,2008,2013,B
Edgar Bennett,BennEd00,False,False,RB,1992,1999,B
Fred Bennett,BennFr99,False,False,DB,2007,2010,B
Jug Bennett,BennJu20,False,False,G-LB,1946,1946,B
Lewis Bennett,BennLe20,False,False,WR,1987,1987,B
Martellus Bennett,BennMa00,True,False,TE,2008,2017,B
Michael Bennett,BennMi00,False,False,RB,2001,2010,B
Michael Bennett,BennMi99,True,False,DE,2009,2017,B
Michael Bennett,BennMi01,True,False,DT,2015,2017,B
Monte Bennett,BennMo20,False,False,NT-DE,1981,1987,B
Phil Bennett,BennPh20,False,False,LB,1960,1960,B
Roy Bennett,BennRo20,False,False,DB,1988,1989,B
Sean Bennett,BennSe00,False,False,RB,1999,2002,B
Sid Bennett,BennSi20,False,False,T-G,1920,1922,B
Tommy Bennett,BennTo20,False,False,DB,1996,2001,B
Tony Bennett,BennTo21,False,False,DE-LB,1990,1997,B
Woody Bennett,BennWo00,False,False,RB,1979,1988,B
Brad Benson,BensBr00,False,False,T-G-C,1978,1987,B
Cedric Benson,BensCe00,False,False,RB,2005,2012,B
Charles Benson,BensCh20,False,False,DE,1983,1987,B
Cliff Benson,BensCl00,False,False,TE,1984,1988,B
Darren Benson,BensDa20,False,False,DT,1995,1997,B
Duane Benson,BensDu20,False,False,LB,1967,1976,B
George Benson,BensGe20,False,False,B,1947,1947,B
